District Name,School Code,School Name
PURNEA,11463,UPGRADE HIGH SCHHOL MAHARAJGANJ PURNIA
PURNEA,11464,UTKARMIT MADHYAMIK VIDYALAY
PURNEA,11465,UCHH MADHYAMIK VIDYALAYA SUGWA MAHANANDPUR BAISI PURNIA
PURNEA,11467,UCHCH MADHYAMIK VIDYALAY GHORDOUR
PURNEA,11468,UCHCH MADHYAMIK VIDYALAYA CHANDRAGAMA
PURNEA,11470,UMV BARAIDGAH
PURNEA,11471,UCHCH MADHYMIK VIDYAKAYA HANSI BEGAMPUE
PURNEA,11472,UCHCH MADHYAMIK VIDYALAYA BHAWANIPUR PURAB
PURNEA,11473,UCHCH  MADHYAMIK VIDYALAY JAWE
PURNEA,11475,UCCH MADHYAMIK VIDYALAYA KANFALYA
PURNEA,11478,UTKRAMIT MADHYAMIK VIDYALAY NITENDAR
PURNEA,11483,UCHH MADHYAMIK VIDYALAY MOHDIPUR BANGARA AMOUR PURNEA
PURNEA,11484,UCHCH MADHYAMIK VIDYALAY BHAWANIPUR AMOUR PURNEA
PURNEA,11485,UCHCH MADHYAMIK VIDALAYA HARIPUR
PURNEA,11486,"UCHCH MADHYAMIK VIDYALAYA MAJHUWAHAT, AMOUR, PURNIA"
PURNEA,11488,U M S BARBATTA
PURNEA,11491,UPGRADE HIGH SCHOOL DAINI
PURNEA,11493,UCHCH MADHYAMIK VIDYALAYA BIRPUR
PURNEA,11496,UPGRADED HIGH SCHOOL CHIKNI
PURNEA,11497,UCCH MADHYAMIK VIDYALAYA MATELI KHEMCHAND
PURNEA,11498,UMS DANSAR
PURNEA,11501,HIGH SCHOOL SARWAILY AMOUR PURNEA
PURNEA,11502,"SHIV SAHAYA SAGARMAL GIRL'S H S BIROULI, PURNEA"
PURNEA,11503,JOKHAN HIGH SCHOOL BELTARI PURNEA
PURNEA,11504,KAMAKHYA HIGH SCHOOL KAMAKHYASTHAN PURNEA
PURNEA,11505,HIGH SCHOOL BAHDURA PURNEA
PURNEA,11506,KHALIKUL NISHA SAJJAD MILLAR H/S PURNEA
PURNEA,11507,KANYA UCHCHA VIDYALAYA BHATTA PURNEA
PURNEA,11508,HIGH SCHOOL DIBRA BAZAR PURNEA
PURNEA,11509,MUNGA LAL HIGH SCHOOL ORLAHA PURNEA
PURNEA,11510,D C HIGH SCHOOL BARDELA PURNEA
PURNEA,11511,HIGH SCHOOL BARAIDGAH PURNEA
PURNEA,11512,HIGH SCHOOL CHAKMAKA PURNEA
PURNEA,11701,ST.PETER'S HIGH SCHOOL PURNEA
PURNEA,11703,"BHOLANATH RAJ VIDYANAND H S B NAGAR SHAHKOL, PURNEA"
PURNEA,11704,MOHAN LAL BAJAJ GIRLS H S GULABBAGH PURNEA
PURNEA,11801,UCHCH MADHYAMIK VIDYALAYA KHUTIYA
PURNEA,11802,U H S DHOKWA DHAMDAHA PURNEA
PURNEA,11803,UCHCH MADHYAMIK VIDYALAYA GYANDOVE
PURNEA,11804,UMS ADHANG
PURNEA,11805,UTKARAMIT MADHYAMIK VIDYALAY TARABARI
PURNEA,11807,UTKARAMIT MADHYAMIK VIDYALAY RANRAYA LALTOLI
ARARIA,12001,"L S HIGH SCHOOL PALASI PATEGNA, ARARIA"
ARARIA,12002,"S HIGH SCHOOL BELSARA, ARARIA"
ARARIA,12003,"HIGH SCHOOL KALIAGANJ, ARARIA"
ARARIA,12004,"PROJECT HIGH SCHOOL SIKTY, ARARIA"
ARARIA,12005,"L B S S HIGH SCHOOL PALASI, ARARIA"
ARARIA,12006,"PROJECT GIRLS HIGH SCHOOL KALIAGANJ, ARARIA"
ARARIA,12007,"R A HIGH SCHOOL HANSA KAMALPUR, ARARIA"
ARARIA,12008,"M M PROJECT GIRLS H/S PAHUNSI, ARARIA"
ARARIA,12009,"V N HIGH SCHOOL BHOJPUR, ARARIA"
ARARIA,12010,"PROJECT GIRLS HIGH SCHOOL BARDAHA, ARARIA"
ARARIA,12011,"ZAKIR ACADEMY DEHTI, ARARIA"
ARARIA,12012,S S GIRLS HIGH SCHOOL ARARIA
ARARIA,12013,"H S URLAHA, ARARIA"
ARARIA,12014,"B L D HIGH SCHOOL RANIGANJ, ARARIA"
ARARIA,12015,AZAD ACADEMY ARARIA
ARARIA,12016,"HIGH SCHOOL KUARI, ARARIA"
ARARIA,12017,"M G S HIGH SCHOOL ARARIA R S, ARARIA"
ARARIA,12018,"P N HIGH SCHOOL SOHANDARHAT, ARARIA"
ARARIA,12019,"UMA NATH ROY HIGH SCHOOL UDAHAT, ARARIA"
ARARIA,12020,"HIGH SCHOOL MALHARAIA, ARARIA"
ARARIA,12021,"HIGH SCHOOL BARDAHA, ARARIA"
ARARIA,12022,"LALJEE HIGH SCHOOL RANIGANJ, ARARIA"
ARARIA,12023,"HIGH SCHOOL JOKIHAT, ARARIA"
ARARIA,12024,"MOTI HIGH SCHOOL MADANPUR, ARARIA"
ARARIA,12025,"KALAWATI GIRLS HIGH SCHOOL RANIGANJ, ARARIA"
ARARIA,12026,"HIGH SCHOOL KURSAKANTA, ARARIA"
ARARIA,12027,HIGH SCHOOL ARARIA
ARARIA,12028,"HIGH SCHOOL SIMRAHA, ARARIA"
ARARIA,12029,"LEE ACADEMY FOR BES GANJ, ARARIA"
ARARIA,12030,"HIGH SCHOOL NARPATGANJ, ARARIA"
ARARIA,12031,"HIGH SCHOOL JOGBANI, ARARIA"
ARARIA,12032,"B D G G HIGH SCHOOL FOR BES GANJ, ARARIA"
ARARIA,12033,"S D D N G GOVT H/S FOR BES GANJ, ARARIA"
ARARIA,12034,"RAM NANDAN HIGH SCHOOL RAMAI, ARARIA"
ARARIA,12035,"D D S HIGH SCHOOL FOR BES GANJ, ARARIA"
ARARIA,12036,"K D H/S FULKAHA NAWABGANJ, ARARIA"
ARARIA,12037,"J HIGH SCHOOL PITHAURA, ARARIA"
ARARIA,12038,"JAWAHAR HIGH SCHOOL BHARGAMA, ARARIA"
ARARIA,12039,"RAMLAL HIGH SCHOOL HARIPUR DAK, ARARIA"
ARARIA,12040,"S D R HIGH SCHOOL MAHATHAWA, ARARIA"
ARARIA,12041,"D B H S BEER NAGAR BISHARIA, ARARIA"
ARARIA,12042,"GOVT AMBEDKAR HIGH SCHOOL RAMPUR, ARARIA"
ARARIA,12043,"PROJECT GIRLS H/S NAR PATGANJ, ARARIA"
ARARIA,12044,"HIGH SCHOOL SIMARBANI, ARARIA"
ARARIA,12045,"PROJECT KANYA H S JOKIHAT, ARARIA"
ARARIA,12046,"+2 PROJECT GIRLS HIGH SCHOOL, BHARGAMA,ARARIA"
ARARIA,12301,UTKRAMIT M S PAIKTOLA ARARIA
ARARIA,12302,UTKRAMIT M S BANSBARI ARARIA
ARARIA,12303,"UTKRAMIT M S MADHUBANI KHERKHA FORBESGANJ, ARARIA"
ARARIA,12304,"UTKRAMIT M S TERHI MUSAHARI FORBESGANJ, ARARIA"
ARARIA,12305,"UTKRAMIT M S BHOONA JOKIHAT MAJAGAMA, ARARIA"
ARARIA,12306,"UTKRAMIT M S RUPAIL MADHAL PALASI, ARARIA"
ARARIA,12307,"UTKRAMIT M S RAHARIA MANULHA PATTI BHARGAMA, ARARIA"
ARARIA,12308,"UTKRAMIT M S NONIYA TOLA CHAKALA NARPATGANJ, ARARIA"
ARARIA,12309,"BALIKA UTKRAMIT M S GUNWANTI SHRANIGANJ, ARARIA"
ARARIA,12310,"UTKRAMIT MADHYAMIK VIDYALAY, PARMANANDPUR RANIGANJ"
